,Unnamed: 0,image,local_image,title,description,main_category,pred_description,bleu,rouge1,rougeL,textsim,llm_judge
10,10,https://m.media-amazon.com/images/I/71jjAunkgmL._AC_UL1500_.jpg,./images/0085495.jpg,Jag Jeans Women's Maddie Pull-on Bermuda Short,"Jag Maddie Mid Rise Bermuda Pull-On Short - Your new everyday short, Maddie is a comfortable pull-on with our Best Kept Secret Technology. That means an elastic waistband that not only smooths and flatters, but also acts as a belt. This helps the short sit in place and stay there. Finished with a chino-inspired front for a clean, modern look.",AMAZON FASHION,"These versatile shorts feature a comfortable, relaxed fit with a classic tapered leg, perfect for casual outings or everyday wear. Crafted from a lightweight, breathable fabric, they offer ease of movement while maintaining a polished, stylish silhouette. Ideal for warm weather, they pair effortlessly with sandals or casual tops for a laid-back yet put-together look.",0.011119311429164674,0.18487394957983191,0.15126050420168066,0.45359164476394653,2
11,11,https://m.media-amazon.com/images/I/61MeEuZRq-L._AC_UL1500_.jpg,./images/0004529.jpg,SUNGAIT Kids Polarized Aviator Sunglasses with Case for Boys Girls Age 3-10 Unbreakable Frame UV400 Protection,"SUNGAIT is always devoting to offering Amazon users products with low cost but high performance. We supply with kinds of round polarized sunglasses for Men and Women. Buying SUNGAIT sunglasses, you could not only receive a quality product but also enjoy our exceptional customer service",AMAZON FASHION,"These stylish, sporty sunglasses feature a vibrant blue frame with yellow accents and durable, dark-tinted lenses perfect for sunny days. The included black neck strap ensures they stay securely in place during active outings or casual wear. Ideal for kids and teens, they combine functionality with a fun, modern look.",0.005739995047374933,0.125,0.08333333333333333,0.4369908273220062,1
12,12,https://m.media-amazon.com/images/I/71ZVwVCu1+L._AC_UL1461_.jpg,./images/0004763.jpg,JHYWELL Cotton Dew Rags Beanie Skull Caps Helmet Liner Skull Doo Rag Bandana Welder Welding Sweat Do Rags for Men and Women,"JHYWELL 100% Cotton Skull Cap Beanie Do Rags Hat Cooling Motorcycle Hard Sweat Helmet Liner Doo Rags Head Scarf Bandana Breathable Head Wrap for Biker Men and Women - Outdoor Sports Running, Bicycle, Motorcycle, Football, Cycling, Ski
1. Why Choose Our Doo Rags Skull Cap  Adjustable motorcycle headwear bandana- Do rags work as light weight skull caps working hat dew rag, fit under construction hard hat helmet liner and tie self back, cycling bike cap, running beanies, welder hats, cooling biker rags, jogging, mountain snowboard- climbing, sun protection head bandana fits beanies, fitting to absorb sweat when exercising, letting you feel comfortable and cool. All of these keep you from giving you maximum ultimate performance physical effort level. Moisture wicking lightweight cotton fabric with a cooling soft feel. Enjoy your healthy state, build up your fitness level and earn your happiness. 2. 100% Cotton Soft Skull Cap Do Rags Motorcycle Bandana Head Wraps Dew rags are ideal to be worn as skull bandana, motorcycle dorags skull caps, cycling helmet liners, chef skull cap hats, women men chemo doo rag hat, running bandana caps for men. It can provide you complete hair coverage, and make you cool unique. Lightweight, effective design dew rag that allows for a very comfortable fit. Great to use for any hart hat helmet sport or even as everyday wear essential. Adjustable hat, easy to adjust the fit with posterior tie straps, one size fits all.",AMAZON FASHION,"These stylish pirate-themed head wraps feature bold skull and crossbones patterns in black, red, and white, perfect for adding a rugged, adventurous look to any outfit. Made from soft, breathable fabric, they’re ideal for casual wear, sports, or as a fun accessory for themed events. The adjustable ties ensure a comfortable, secure fit for all head sizes.",0.00026712389326642624,0.20875420875420878,0.10774410774410774,0.5042585134506226,1
13,13,https://m.media-amazon.com/images/I/718HgBFyhyL._AC_UL1500_.jpg,./images/0106929.jpg,Bee Tshirt Women Summer Short Sleeve Round Neck Funny Letter Graphic Casual Tee Shirt & Blouse Short Sleeve Tees Tops,"Features:  【Material】Made of Polyester, Soft material, lightweight and breathable, Great tactile of your skin. Perfect for the upcoming summer days.  【Style】This is a short tops to make you cool. Crew neck design highlights your collarbone. Pretty decorative button can perfectly show your personality. The length and high elastic waist design shows your beautiful figure.  【Occasions】Perfect length for leggings,jeans,shorts or pants. You can the tshirt into your shorts or skirts for a stylish look all seasons!  【Occasions】Suitable for a casual everyday look and any occasions especially for office, parties,vacation,clubbing and dating.  Product Description:  Season: Summer  Gender: Women  Material: Polyester  Decoration: None  Sleeve Length: Short Sleeve  Pattern Type: Printing  Style: Fashion, Casual  Size Chart: Size:S  Bust:96cm/37.80'' Shoulder:44cm/17.32'' Sleeve:17.50cm/6.89'' Length:63cm/24.80'' Size:M  Bust:100cm/39.37'' Shoulder:45cm/17.72'' Sleeve:18cm/7.09'' Length:65cm/25.59'' Size:L  Bust:104cm/40.94'' Shoulder:46cm/18.11'' Sleeve:18.50cm/7.28'' Length:67cm/26.38'' Size:XL  Bust:108cm/42.52'' Shoulder:47cm/18.50'' Sleeve:19cm/7.48'' Length:69cm/27.17'' Size:XXL  Bust:114cm/44.09'' Shoulder:48cm/18.90'' Sleeve:20cm/7.87'' Length:71cm/27.95''",AMAZON FASHION,"This vibrant yellow tee features a bold black graphic of a bee nestled in a sunflower, perfect for casual outings or sunny days. Made from soft, comfortable fabric, it pairs effortlessly with jeans and boots for a relaxed, stylish look. Ideal for those who love nature-inspired designs and everyday comfort.",0.0022142839671703794,0.1673003802281369,0.09125475285171103,0.3402050733566284,2
14,14,https://m.media-amazon.com/images/I/61lPDdElIYL._AC_UL1500_.jpg,./images/0080861.jpg,"SVODEA Opal Turtle Necklace for Women,925 Sterling Silver Ocean Wave and Cute Sea Turtle Pendant Heart Necklaces,Birthday Holiday Beach Jewelry for Girls Wife Girlfriend,18''-20''","SVODEA has always been committed to providing consumers with the products of highest quality and best service.
🌹💓Reminder: Because there may be different types of shooting errors, the product size will be measured manually and an error will occur.Everything is subject to the actual goods received！
🌹💓NOTE:
❤️ Our products are guaranteed to be nickel free and lead free, ideal for people with sensitive skin. No other chemicals are added to retain the shininess.
❤️Pls treat with care and avoid any pulling and bending when putting on and taking them off.
❤️ ♥Maintenance♥
❀Avoid exposure to chemical; even everyday substances like hairspray, lotion, perfume or other cosmetics can contain chemicals.  ❀ Avoid taking a shower while wearing. ❀ Avoid impact and scratch. ❀ Avoid wearing when sweating a lot. ❀ Wiping with a soft cloth. ❀ Avoid wearing when sleeping.
💓AFTER-SALES-SERVICE💓
1.If you have any dissatisfaction with your item, please email us.Your satisfactory is always our Priority, We will do our best to resolve the issues. 2.Your feedback is our motivation to improve the quality of our products and good service for other customers like you. ★In order to give You or Your lover an unforgettable experience, don’t hesitate to click it to buy. ·",AMAZON FASHION,"This elegant pendant features a delicate sea turtle design set against a swirling ocean wave motif, all encased in a circular frame with a shimmering opal inlay that catches the light. Crafted with a sleek silver finish, it’s perfect for those who love nature-inspired jewelry and make a thoughtful gift for ocean lovers. Wear it as a daily accessory or for special occasions to celebrate the beauty of the sea.",0.0013207547274000093,0.13043478260869565,0.07246376811594203,0.06867415457963943,1
15,15,https://m.media-amazon.com/images/I/71hjX7of08L._AC_UL1500_.jpg,./images/0074525.jpg,"Maxi Dress for Women,2023 Spring Summer Cotton Linen Boho Casual Fashion Sleeveless Dress for Holiday","Women's Fashion Casual Solid Colour Sleeveless Cotton Linen Pocket DressPlease check the Size Chart before order. If you are not sure the size, please send message to us.Features:1.It is made of high quality materials,durable enought for your daily wearing2.Very cool to wear3.Special dress design make you more attractive4.This lightweight, Dress is perfect for those days!5.Garment Care: Hand Wash Recommand or Dry Clean Your Shirt Dress. The Pattern on Product May Vary Please .6.Casual style showing your unique charm and vitality, add a sense of elegance and style. It's soft and comfortable, and You will love it when you receive it.Product information:Gender:WomensDecoration:NoneLength:regularStyle:Casual,fashionOccasion:Occasion: Daily wear, vocation, Christmas, dates, sports, school, working, street wear,etc. Easy to pair with boots, skinny leggings for a trendy look in spring, autumn and winter.Both hand wash and machine wash is OKPackage include:1PC DressPlease note that slight color difference should be acceptable due to the light and screen.",AMAZON FASHION,"This flowing, sleeveless maxi dress is perfect for casual outings or relaxed days, featuring a comfortable, loose fit with convenient side pockets. Made from a breathable, lightweight fabric, it drapes beautifully and comes in a variety of soft, earthy tones to suit any style. Ideal for beach walks, weekend strolls, or everyday wear, it combines effortless elegance with practical comfort.",0.0052548143172856275,0.24034334763948495,0.10300429184549355,0.5927765369415283,2
16,16,https://m.media-amazon.com/images/I/712Jg58up+L._AC_UL1500_.jpg,./images/0080916.jpg,SHIBEVER Womens Wedge Sandals Elastic Ankle Strap Open Toe Platform Sandals Blue 6,"【Material】 Wedge sandals for women, soft PU leather sole and non-slip rubber outsole, lightweight and comfortable summer platform wedge sandals. Womens wedge flip flops sandals comfort to wear. 【Design】Stylish Womens rhinestone sandals, elastic ankle strap open toe sandals, easy to slip on/off. Hollow out wedge heeled sandals, low wedge sandals women, midi-heel platform shoes women, womens wedge flip flops sandals with arch support, fashion and cute wedge heel shoes, slingback slip-on T-Strap thong sandals women.",AMAZON FASHION,"These stylish wedge sandals feature a decorative perforated upper with a flattering T-strap design, perfect for casual outings or light workwear. The comfortable, cushioned insole and supportive wedge heel offer all-day wearability, while the durable leather-like material adds a touch of elegance. Ideal for warm weather, they blend fashion with practicality for everyday wear.",0.008411337138430371,0.24637681159420288,0.10144927536231883,0.7727843523025513,3
17,17,https://m.media-amazon.com/images/I/51388k2MLvL._AC_UL1500_.jpg,./images/0077473.jpg,Vogue Eyewear Women's Vo5222s Octagonal Sunglasses,"When it comes to playful contemporary beauty, Vogue Eyewear has every angle covered! The Vogue VO5222S sunglasses feature a lightweight, octagonal nylon fiber frame in glittering opal gradient colors and flat mirror shades for a shimmering, on-trend look. The Vogue VO5222S sunglasses are available in an array of frame colors including classic black or Havana and opal beige, pink or violet with fashionable gradient mirrored or classic gradient lenses, to suit your personal style. The lenses are coating with 100% UV protection to protect your eyes from all harmful UV rays. Designed for the young at heart, innovative, open-minded consumer, each pair of Vogue sunglasses for women come with a case and lens cleaning cloth to clean, protect and store your sunglasses. Vogue sunglasses sold by authorized sellers, like Amazon.com, are eligible for all manufacturer warranties and guarantees.",AMAZON FASHION,"These stylish sunglasses feature a bold, octagonal frame with a tortoiseshell pattern, offering a chic and timeless look. The gradient lenses provide sun protection while subtly enhancing your vision, making them perfect for casual outings or fashion-forward moments. Their sleek design complements both modern and classic outfits, adding a touch of elegance to any ensemble.",0.007037542836725454,0.233502538071066,0.15228426395939088,0.5688996911048889,2
18,18,https://m.media-amazon.com/images/I/512UABI2RVL._AC_UL1024_.jpg,./images/0090365.jpg,PSD Women's Hooters Boy Shorts - Full Coverage Women's Underwear - Comfortable Stretch Panties for Women,"The Boy Short is a full coverage bottom that’s made of a breathable, wear-all-day, soft-to-the-touch poly blend. Designed as underwear but also perfect for lounging around the house in, they feature an ultra-flexible microfiber blend band with moisture-wicking properties and flatlock seams for added comfort.",AMAZON FASHION,"This stylish two-piece set features a flattering crop top and matching shorts, perfect for casual outings or nightlife. The vibrant colors and bold graphics add a fun, energetic vibe to any outfit. Designed for comfort and movement, it’s ideal for those who love to stay cool and confident in their style.",0.010746774156890347,0.2641509433962264,0.1320754716981132,0.4604540169239044,1
19,19,https://m.media-amazon.com/images/I/61jf9gUS2nL._AC_UL1140_.jpg,./images/0075447.jpg,"PATROK unisex-adult Retro, Classic","These
comfortable
,
classic
, and
cute
smiley slides are made to last (and trust me, you'll want them to last once they become your favorites).
Fluffy and faux-fur lined
, these are also manufactured with
non-slip rubber soles
. Great for indoor & outdoor – like getting the mail. These bedroom slippers’
convenient, slip-on design
means that they're just as easy to put on as flip-flops.
Unique color combinations
also means that you can the ones that are unique to you! These happy face fuzzy slippers are also
hand-washable -
stains & accidents won't be a permanent part of your new pair of favorite slippers!
Stay warm
throughout any season! Treat yourself or give them as a gift - they look great on
guys and girls!
The smaller men's sizing also means that teens are able to fit into the smallest of these slip-ons.Still not convinced? They're made to make you smile and we take that seriously at PATROK. In the very unlikely event that you are unhappy with your pair, we will happily exchange or reimburse you -
no hassle!
So stop reading this and click the ""Add to Cart"" button already!¿Habla Español? ¡Nosotros También! Estas pantuflas / zapatillas con caritas feliz se convertirán rápidamente a ser tus nuevas favoritas!¡Estas pantuflas para mujer y hombre son de buena calidad!
Category:
smiley slippers / slippers for men / womens house shoes / house slippers for men / mens slippers / men slippers / smile slippers / ladies slippers / womens house slippers / bedroom slippers women / zapatillas de mujer, pantuflas para hombres / mama bear slippers / slippers for teen girls / mens slippers size / shoe slippers / slippers men / woman slippers / women house slippers / kids",AMAZON FASHION,"These cozy, plush slippers feature cheerful smiley face designs in soft beige and blue, perfect for relaxing at home. Made with a comfortable, cushioned interior and a fluffy exterior, they’re ideal for chilly evenings or casual lounging. Their slip-on style makes them easy to wear and remove, adding a touch of fun to your everyday comfort.",0.00018580592249175495,0.18289085545722714,0.08259587020648967,0.6832683086395264,3
20,20,https://m.media-amazon.com/images/I/71EWB9xBYzL._AC_UL1500_.jpg,./images/0087426.jpg,Aravon Women's Josie Two Piece Ballet Flat,"Looking for sandal-like comfort but don’t want to show your toes? Look no further than our Josie Fisherman, the perfect combination of breathability and smart design to help you enjoy carefree days and stylish nights. Stroll the streets and boardwalks in modern style, while you experience firsthand Aravon’s  renowned “Comfort without Compromise”.",AMAZON FASHION,"These stylish black sandals feature a comfortable, cushioned sole and an adjustable ankle strap for a secure fit. The open-toe design with multiple straps offers breathability and a modern look, perfect for casual outings or warm-weather events. Ideal for everyday wear, they combine comfort with a sleek, contemporary aesthetic.",0.01084920505214433,0.2830188679245283,0.1320754716981132,0.44199639558792114,2
21,21,https://m.media-amazon.com/images/I/41BmUxtGbOL._AC_UL1000_.jpg,./images/0083223.jpg,Acrylic Clear Shiny Flower Y2K Butterfly Star Moon Fruit Drop Dangle Earrings Stud Earrings for Women Girls,"Notes:
Manual measurement, please allow slight errors on size.The color may exist a slight difference due to different screen displays.925 silver pin material is soft, if the silver pin is bent, please break straight carefully.Please wear under the supervision of an adult.Avoid exposing earrings to water and sweat.Do not wear these earrings when sleeping.",AMAZON FASHION,"These charming crescent moon earrings feature a soft pink gradient finish with sparkling pink stars, perfect for adding a whimsical touch to any outfit. Ideal for casual wear or special occasions, they’re designed to catch the light and bring a touch of celestial magic to your look.",0.0056651331261857625,0.18691588785046728,0.11214953271028037,0.40270674228668213,1
22,22,https://m.media-amazon.com/images/I/61dW+vledWL._AC_UL1000_.jpg,./images/0100362.jpg,Nike Men's Gymnastics Shoes Running,"MINIMALIST DESIGN - MAXIMALIST COMFORT. The Nike Revolution running shoe combines cushioning, lightweight and a minimalist design that ensures speed and comfort all day long. Mesh for breathable comfort. Foam midsole for cushioning and lightness.",AMAZON FASHION,"This sleek, black athletic shoe features a breathable mesh upper and a bold white swoosh, designed for comfort during daily walks or light workouts. Its cushioned midsole and responsive outsole provide a smooth, supportive feel with every step. Perfect for casual wear or active lifestyles, it blends style with practical performance.",0.011067926155676427,0.30588235294117644,0.18823529411764706,0.5696188807487488,2
23,23,https://m.media-amazon.com/images/I/71HSztMVC2L._AC_UL1500_.jpg,./images/0072612.jpg,Men's Marvel Avengers: Infinity War Doctor Strange Portrait T-Shirt - Navy Blue Heather - 5X Large,"Doctor Strange is a powerful wizard but even he is under the spell of the Marvel Avengers: Infinity War Doctor Strange Portrait Men's T-Shirt. The Sorcerer Supreme, Doctor Strange, is portrayed alongside his name on this cool Infinity War tee.",AMAZON FASHION,"This stylish t-shirt features a bold, dynamic graphic of Doctor Strange in action, perfect for fans of the Marvel universe. Made from soft, comfortable fabric, it’s ideal for casual wear or showing off your love for superhero adventures. The vibrant design stands out against the dark heathered background, making it a standout piece for everyday wear.",0.02284271514102002,0.24000000000000002,0.14,0.7202826142311096,3
24,24,https://m.media-amazon.com/images/I/61suZkNa3gL._AC_UL1500_.jpg,./images/0088554.jpg,GRACE KARIN 2023 Women's Casual Swiss Dot Shirts Chiffon V Neck Short Sleeve Flowy Tops Blouse,"Features: Blouse Shirt Top V Neck Bubble Sleeve cap sleeve Pom Pom layered design with lining ruffled shoulder trim babydoll Pompom Pleated Chiffon Swiss Dot mesh swiss dot Elegant Flowy Casual Work Office Business flattering Cute breathable lightweight solid loose comfy simple Basic Spring Summer Autumn fall early Winter  Details of the Tops: Item Condition: New Fabric: Shell: 98%Polyester+2%Viskose, Lining:98%Polyester+2%Viskose Color: Black/Beige/Blue/Orange Package Contents:1* Swiss Dot Shirts  Washing instruction: Hand or gentle machine wash  Notes: 1. The actual color of the item might be slightly different from pictures, since different screens display colors differently due to monitor settings and pixel definitions. 2. Please allow slight manual measurement deviation for the data.  Service: We attach great importance to your shopping experience. If you have any questions about this tops, please contact us through Amazon, and we will try our best to help you.",AMAZON FASHION,"This lightweight, cream-colored top features a flattering V-neckline and delicate ruffled short sleeves, perfect for casual outings or layering. Its textured, dot-patterned fabric adds subtle dimension while maintaining a soft, breezy feel. Ideal for warm weather, it pairs effortlessly with jeans or skirts for a chic, effortless look.",0.0008447283931583473,0.16666666666666666,0.0784313725490196,0.6043000221252441,2
25,25,https://m.media-amazon.com/images/I/71mQ0LP5UEL._AC_UL1500_.jpg,./images/0076675.jpg,Articles of Society Womens Heather High Rise Cropped Jeans,Articles of Society 4018PL-236 Jeans Cropped China Womens Zip-fly Regular 65% Cotton 23% Polyester 10% Rayon 2% Spandex Back Pocket(s).Front Pocket(s) Solid High-Rise All Seasons Medium Weight Casual Modern,AMAZON FASHION,"These slim-fit jeans feature a classic denim wash with subtle fading for a worn-in look, perfect for casual outings or layering under jackets. The mid-rise cut and tapered legs offer a flattering silhouette, while the comfortable stretch fabric ensures all-day wear. Ideal for everyday styling, they pair effortlessly with sandals, boots, or sneakers.",0.0,0.08695652173913045,0.06521739130434782,0.5116753578186035,1
