,Unnamed: 0,image,local_image,title,description,main_category,pred_title,bleu,rouge1,rougeL,textsim,llm_judge
12,12,https://m.media-amazon.com/images/I/71ZVwVCu1+L._AC_UL1461_.jpg,./images/0004763.jpg,JHYWELL Cotton Dew Rags Beanie Skull Caps Helmet Liner Skull Doo Rag Bandana Welder Welding Sweat Do Rags for Men and Women,"JHYWELL 100% Cotton Skull Cap Beanie Do Rags Hat Cooling Motorcycle Hard Sweat Helmet Liner Doo Rags Head Scarf Bandana Breathable Head Wrap for Biker Men and Women - Outdoor Sports Running, Bicycle, Motorcycle, Football, Cycling, Ski
1. Why Choose Our Doo Rags Skull Cap  Adjustable motorcycle headwear bandana- Do rags work as light weight skull caps working hat dew rag, fit under construction hard hat helmet liner and tie self back, cycling bike cap, running beanies, welder hats, cooling biker rags, jogging, mountain snowboard- climbing, sun protection head bandana fits beanies, fitting to absorb sweat when exercising, letting you feel comfortable and cool. All of these keep you from giving you maximum ultimate performance physical effort level. Moisture wicking lightweight cotton fabric with a cooling soft feel. Enjoy your healthy state, build up your fitness level and earn your happiness. 2. 100% Cotton Soft Skull Cap Do Rags Motorcycle Bandana Head Wraps Dew rags are ideal to be worn as skull bandana, motorcycle dorags skull caps, cycling helmet liners, chef skull cap hats, women men chemo doo rag hat, running bandana caps for men. It can provide you complete hair coverage, and make you cool unique. Lightweight, effective design dew rag that allows for a very comfortable fit. Great to use for any hart hat helmet sport or even as everyday wear essential. Adjustable hat, easy to adjust the fit with posterior tie straps, one size fits all.",AMAZON FASHION,Doo Rags Skull Cap Beanie,0.0025358201462740053,0.37037037037037035,0.22222222222222218,0.6442551612854004,2
13,13,https://m.media-amazon.com/images/I/718HgBFyhyL._AC_UL1500_.jpg,./images/0106929.jpg,Bee Tshirt Women Summer Short Sleeve Round Neck Funny Letter Graphic Casual Tee Shirt & Blouse Short Sleeve Tees Tops,"Features:  【Material】Made of Polyester, Soft material, lightweight and breathable, Great tactile of your skin. Perfect for the upcoming summer days.  【Style】This is a short tops to make you cool. Crew neck design highlights your collarbone. Pretty decorative button can perfectly show your personality. The length and high elastic waist design shows your beautiful figure.  【Occasions】Perfect length for leggings,jeans,shorts or pants. You can the tshirt into your shorts or skirts for a stylish look all seasons!  【Occasions】Suitable for a casual everyday look and any occasions especially for office, parties,vacation,clubbing and dating.  Product Description:  Season: Summer  Gender: Women  Material: Polyester  Decoration: None  Sleeve Length: Short Sleeve  Pattern Type: Printing  Style: Fashion, Casual  Size Chart: Size:S  Bust:96cm/37.80'' Shoulder:44cm/17.32'' Sleeve:17.50cm/6.89'' Length:63cm/24.80'' Size:M  Bust:100cm/39.37'' Shoulder:45cm/17.72'' Sleeve:18cm/7.09'' Length:65cm/25.59'' Size:L  Bust:104cm/40.94'' Shoulder:46cm/18.11'' Sleeve:18.50cm/7.28'' Length:67cm/26.38'' Size:XL  Bust:108cm/42.52'' Shoulder:47cm/18.50'' Sleeve:19cm/7.48'' Length:69cm/27.17'' Size:XXL  Bust:114cm/44.09'' Shoulder:48cm/18.90'' Sleeve:20cm/7.87'' Length:71cm/27.95''",AMAZON FASHION,Summer Short Top,0.0008312231349856605,0.2727272727272727,0.2727272727272727,0.4983225464820862,2
14,14,https://m.media-amazon.com/images/I/61lPDdElIYL._AC_UL1500_.jpg,./images/0080861.jpg,"SVODEA Opal Turtle Necklace for Women,925 Sterling Silver Ocean Wave and Cute Sea Turtle Pendant Heart Necklaces,Birthday Holiday Beach Jewelry for Girls Wife Girlfriend,18''-20''","SVODEA has always been committed to providing consumers with the products of highest quality and best service.
🌹💓Reminder: Because there may be different types of shooting errors, the product size will be measured manually and an error will occur.Everything is subject to the actual goods received！
🌹💓NOTE:
❤️ Our products are guaranteed to be nickel free and lead free, ideal for people with sensitive skin. No other chemicals are added to retain the shininess.
❤️Pls treat with care and avoid any pulling and bending when putting on and taking them off.
❤️ ♥Maintenance♥
❀Avoid exposure to chemical; even everyday substances like hairspray, lotion, perfume or other cosmetics can contain chemicals.  ❀ Avoid taking a shower while wearing. ❀ Avoid impact and scratch. ❀ Avoid wearing when sweating a lot. ❀ Wiping with a soft cloth. ❀ Avoid wearing when sleeping.
💓AFTER-SALES-SERVICE💓
1.If you have any dissatisfaction with your item, please email us.Your satisfactory is always our Priority, We will do our best to resolve the issues. 2.Your feedback is our motivation to improve the quality of our products and good service for other customers like you. ★In order to give You or Your lover an unforgettable experience, don’t hesitate to click it to buy. ·",AMAZON FASHION,"Nickel-Free, Lead-Free, High-Quality Shooting Earrings",0.0,0.0,0.0,0.22560131549835205,0
15,15,https://m.media-amazon.com/images/I/71hjX7of08L._AC_UL1500_.jpg,./images/0074525.jpg,"Maxi Dress for Women,2023 Spring Summer Cotton Linen Boho Casual Fashion Sleeveless Dress for Holiday","Women's Fashion Casual Solid Colour Sleeveless Cotton Linen Pocket DressPlease check the Size Chart before order. If you are not sure the size, please send message to us.Features:1.It is made of high quality materials,durable enought for your daily wearing2.Very cool to wear3.Special dress design make you more attractive4.This lightweight, Dress is perfect for those days!5.Garment Care: Hand Wash Recommand or Dry Clean Your Shirt Dress. The Pattern on Product May Vary Please .6.Casual style showing your unique charm and vitality, add a sense of elegance and style. It's soft and comfortable, and You will love it when you receive it.Product information:Gender:WomensDecoration:NoneLength:regularStyle:Casual,fashionOccasion:Occasion: Daily wear, vocation, Christmas, dates, sports, school, working, street wear,etc. Easy to pair with boots, skinny leggings for a trendy look in spring, autumn and winter.Both hand wash and machine wash is OKPackage include:1PC DressPlease note that slight color difference should be acceptable due to the light and screen.",AMAZON FASHION,Women's Casual Solid Colour Sleeveless Cotton Linen Dress,0.03078984545176574,0.4800000000000001,0.32,0.575637936592102,4
16,16,https://m.media-amazon.com/images/I/712Jg58up+L._AC_UL1500_.jpg,./images/0080916.jpg,SHIBEVER Womens Wedge Sandals Elastic Ankle Strap Open Toe Platform Sandals Blue 6,"【Material】 Wedge sandals for women, soft PU leather sole and non-slip rubber outsole, lightweight and comfortable summer platform wedge sandals. Womens wedge flip flops sandals comfort to wear. 【Design】Stylish Womens rhinestone sandals, elastic ankle strap open toe sandals, easy to slip on/off. Hollow out wedge heeled sandals, low wedge sandals women, midi-heel platform shoes women, womens wedge flip flops sandals with arch support, fashion and cute wedge heel shoes, slingback slip-on T-Strap thong sandals women.",AMAZON FASHION,Women's Comfortable Wedge Sandals,0.017907794590318507,0.33333333333333337,0.33333333333333337,0.7185717821121216,2
17,17,https://m.media-amazon.com/images/I/51388k2MLvL._AC_UL1500_.jpg,./images/0077473.jpg,Vogue Eyewear Women's Vo5222s Octagonal Sunglasses,"When it comes to playful contemporary beauty, Vogue Eyewear has every angle covered! The Vogue VO5222S sunglasses feature a lightweight, octagonal nylon fiber frame in glittering opal gradient colors and flat mirror shades for a shimmering, on-trend look. The Vogue VO5222S sunglasses are available in an array of frame colors including classic black or Havana and opal beige, pink or violet with fashionable gradient mirrored or classic gradient lenses, to suit your personal style. The lenses are coating with 100% UV protection to protect your eyes from all harmful UV rays. Designed for the young at heart, innovative, open-minded consumer, each pair of Vogue sunglasses for women come with a case and lens cleaning cloth to clean, protect and store your sunglasses. Vogue sunglasses sold by authorized sellers, like Amazon.com, are eligible for all manufacturer warranties and guarantees.",AMAZON FASHION,Vogue Eyewear Sunglasses,0.09782458612762486,0.6,0.6,0.7655738592147827,2
18,18,https://m.media-amazon.com/images/I/512UABI2RVL._AC_UL1024_.jpg,./images/0090365.jpg,PSD Women's Hooters Boy Shorts - Full Coverage Women's Underwear - Comfortable Stretch Panties for Women,"The Boy Short is a full coverage bottom that’s made of a breathable, wear-all-day, soft-to-the-touch poly blend. Designed as underwear but also perfect for lounging around the house in, they feature an ultra-flexible microfiber blend band with moisture-wicking properties and flatlock seams for added comfort.",AMAZON FASHION,The Boy Short,0.0014911434751178384,0.21052631578947367,0.21052631578947367,0.15209828317165375,1
19,19,https://m.media-amazon.com/images/I/61jf9gUS2nL._AC_UL1140_.jpg,./images/0075447.jpg,"PATROK unisex-adult Retro, Classic","These
comfortable
,
classic
, and
cute
smiley slides are made to last (and trust me, you'll want them to last once they become your favorites).
Fluffy and faux-fur lined
, these are also manufactured with
non-slip rubber soles
. Great for indoor & outdoor – like getting the mail. These bedroom slippers’
convenient, slip-on design
means that they're just as easy to put on as flip-flops.
Unique color combinations
also means that you can the ones that are unique to you! These happy face fuzzy slippers are also
hand-washable -
stains & accidents won't be a permanent part of your new pair of favorite slippers!
Stay warm
throughout any season! Treat yourself or give them as a gift - they look great on
guys and girls!
The smaller men's sizing also means that teens are able to fit into the smallest of these slip-ons.Still not convinced? They're made to make you smile and we take that seriously at PATROK. In the very unlikely event that you are unhappy with your pair, we will happily exchange or reimburse you -
no hassle!
So stop reading this and click the ""Add to Cart"" button already!¿Habla Español? ¡Nosotros También! Estas pantuflas / zapatillas con caritas feliz se convertirán rápidamente a ser tus nuevas favoritas!¡Estas pantuflas para mujer y hombre son de buena calidad!
Category:
smiley slippers / slippers for men / womens house shoes / house slippers for men / mens slippers / men slippers / smile slippers / ladies slippers / womens house slippers / bedroom slippers women / zapatillas de mujer, pantuflas para hombres / mama bear slippers / slippers for teen girls / mens slippers size / shoe slippers / slippers men / woman slippers / women house slippers / kids",AMAZON FASHION,Smiley Slides for Men and Women,0.0,0.0,0.0,0.30541175603866577,1
20,20,https://m.media-amazon.com/images/I/71EWB9xBYzL._AC_UL1500_.jpg,./images/0087426.jpg,Aravon Women's Josie Two Piece Ballet Flat,"Looking for sandal-like comfort but don’t want to show your toes? Look no further than our Josie Fisherman, the perfect combination of breathability and smart design to help you enjoy carefree days and stylish nights. Stroll the streets and boardwalks in modern style, while you experience firsthand Aravon’s  renowned “Comfort without Compromise”.",AMAZON FASHION,Josie Fisherman Sandal,0.029950417327249696,0.18181818181818182,0.18181818181818182,0.44590625166893005,1
21,21,https://m.media-amazon.com/images/I/41BmUxtGbOL._AC_UL1000_.jpg,./images/0083223.jpg,Acrylic Clear Shiny Flower Y2K Butterfly Star Moon Fruit Drop Dangle Earrings Stud Earrings for Women Girls,"Notes:
Manual measurement, please allow slight errors on size.The color may exist a slight difference due to different screen displays.925 silver pin material is soft, if the silver pin is bent, please break straight carefully.Please wear under the supervision of an adult.Avoid exposing earrings to water and sweat.Do not wear these earrings when sleeping.",AMAZON FASHION,Silver Pin Earrings,0.0010684509884797387,0.1,0.1,0.6272201538085938,1
22,22,https://m.media-amazon.com/images/I/61dW+vledWL._AC_UL1000_.jpg,./images/0100362.jpg,Nike Men's Gymnastics Shoes Running,"MINIMALIST DESIGN - MAXIMALIST COMFORT. The Nike Revolution running shoe combines cushioning, lightweight and a minimalist design that ensures speed and comfort all day long. Mesh for breathable comfort. Foam midsole for cushioning and lightness.",AMAZON FASHION,"""Revolution Running Shoe: Comfort Meets Minimalist Design""",0.033031643180138064,0.30769230769230765,0.15384615384615383,0.48075807094573975,2
23,23,https://m.media-amazon.com/images/I/71HSztMVC2L._AC_UL1500_.jpg,./images/0072612.jpg,Men's Marvel Avengers: Infinity War Doctor Strange Portrait T-Shirt - Navy Blue Heather - 5X Large,"Doctor Strange is a powerful wizard but even he is under the spell of the Marvel Avengers: Infinity War Doctor Strange Portrait Men's T-Shirt. The Sorcerer Supreme, Doctor Strange, is portrayed alongside his name on this cool Infinity War tee.",AMAZON FASHION,Doctor Strange Infinity War Portrait T-Shirt,0.028243490250557148,0.6086956521739131,0.43478260869565216,0.8201059103012085,3
24,24,https://m.media-amazon.com/images/I/61suZkNa3gL._AC_UL1500_.jpg,./images/0088554.jpg,GRACE KARIN 2023 Women's Casual Swiss Dot Shirts Chiffon V Neck Short Sleeve Flowy Tops Blouse,"Features: Blouse Shirt Top V Neck Bubble Sleeve cap sleeve Pom Pom layered design with lining ruffled shoulder trim babydoll Pompom Pleated Chiffon Swiss Dot mesh swiss dot Elegant Flowy Casual Work Office Business flattering Cute breathable lightweight solid loose comfy simple Basic Spring Summer Autumn fall early Winter  Details of the Tops: Item Condition: New Fabric: Shell: 98%Polyester+2%Viskose, Lining:98%Polyester+2%Viskose Color: Black/Beige/Blue/Orange Package Contents:1* Swiss Dot Shirts  Washing instruction: Hand or gentle machine wash  Notes: 1. The actual color of the item might be slightly different from pictures, since different screens display colors differently due to monitor settings and pixel definitions. 2. Please allow slight manual measurement deviation for the data.  Service: We attach great importance to your shopping experience. If you have any questions about this tops, please contact us through Amazon, and we will try our best to help you.",AMAZON FASHION,Pom Pom Layered Blouse Shirt Top,0.007710814196876619,0.2608695652173913,0.1739130434782609,0.5210247039794922,1
25,25,https://m.media-amazon.com/images/I/71mQ0LP5UEL._AC_UL1500_.jpg,./images/0076675.jpg,Articles of Society Womens Heather High Rise Cropped Jeans,Articles of Society 4018PL-236 Jeans Cropped China Womens Zip-fly Regular 65% Cotton 23% Polyester 10% Rayon 2% Spandex Back Pocket(s).Front Pocket(s) Solid High-Rise All Seasons Medium Weight Casual Modern,AMAZON FASHION,Articles of Society 4018PL-236 Cropped Jeans,0.15409904547990594,0.6250000000000001,0.6250000000000001,0.7756907939910889,3
26,26,https://m.media-amazon.com/images/I/71P9+nVL4tL._AC_UL1010_.jpg,./images/0080373.jpg,925 Sterling Silver 87 Stone Black White Cubic Zirconia Cz Cat Ring Animal Fine Jewelry For Women Gifts For Her,"ICECARATS DESIGNER JEWELRY 925 STERLING SILVER 87 STONE BLACK WHITE CUBIC ZIRCONIA CZ CAT RINGMaterial Purity : 925Stone Type 1 : Cubic Zirconia (CZ)Stone Type 2 : Cubic Zirconia (CZ)Stone Color 1 : WhiteStone Color 2 : BlackPlating : RhodiumBand Width : 14 mmMaterial : Sterling SilverSizeable : NoStone Treatment 1 : SyntheticStone Treatment 2 : SyntheticItem Weight U/M : gmProduct Type : JewelryJewelry Type : RingsSold By Unit : EachMaterial Color : WhiteRing Type : ThemedStone Creation Method 1 : SyntheticStone Creation Method 2 : SyntheticOUR MISSION & BELIEFSOur mission at IceCarats is to celebrate our customers and enhance their lives journey, honoring life's memorable occasions and enhancing the beauty of everyday through our extensive collection of quality jewelry.THE ICECARATS STORY - CRAFTSMANSHIP...QUALITY...VALUEJewelry is our passion - IceCarats is devoted to craftsmanship, quality, and value. Each piece hand stamped for authenticityMADE WITH LOVE FROM US TO YOU - QUALITY WITHOUT COMPROMISEWhen you purchase jewelry from the IceCarats collection, you buy with confidence - Lifetime Warranty and 30-Day Returns .ELEGANT GIFT PACKAGING - JUST ANOTHER REASON TO SAY YES!Receive Elegant Gift Packing On Every Order with IceCarats!",AMAZON FASHION,IceCarats Designer Jewelry,0.00039306115256100137,0.08695652173913045,0.08695652173913045,0.4850817322731018,1
27,27,https://m.media-amazon.com/images/I/613NTciR6kL._AC_UL1500_.jpg,./images/0075572.jpg,Summer Dresses for Women 2023 Women Sleeveless Cotton Summer Beach Dress A Line Spaghetti Strap Sundress Boho Dresses,"Welcome to our Askelly!You can have more choices on sweatshirt/hoodies/shirts/dresses/sandals/shoes/sneakers/boots/booties,etcAbout Shipment Delivery Date ✈Standard shipping: 10-20 days; Expedited shipping: 3-5 days.✈Attentions:✔✔About size: Since our size is Asian size, it runs small, so we recommend you order 1~2 size up. Please Refer to our size at the image we provide. All size are manual measure, there will be about 1-3 inches errors that is normal.✔✔About color: Due to the light and monitor difference, the color will be a little bit different between the monitor and reality.Hope you would understand. Please confirming these information before you place an order. If you have any question, please do not hesitate to contact us. We Will deal with it within 24hrs.Enjoy your trip to Askelly : )Summer Spring Dresses for Women 2022 Cute Cold Shoulder Boho Tshirt Dresses Short Sleeve A Line Shift Floral Tunic Dress Women's Casual Cocktail Dresses Summer Sun Beach with Pockets Casual Striped Contrast Dress Dresses for 2022 Summer Dresses for Women Beach Spring Striped Print Cute Dress Cover Up Sundress Sleeveless Casual Boho Dress Women's Casual Loose Sundress Long Dress Sleeveless Split Maxi Dresses Summer Beach Dress with Pockets Women's 2022 Summer Casual Tshirt Dresses Short Sleeve Boho Beach Dress Women's Summer Casual Spaghetti Strap Sundress Dress Dresses for Women 2023",AMAZON FASHION,Summer Dresses for Women,0.0301973834223185,0.3636363636363636,0.3636363636363636,0.7613294720649719,4
28,28,https://m.media-amazon.com/images/I/714A5qF6mYL._AC_UL1500_.jpg,./images/0108766.jpg,OUDLLY Shorts Women's Summer Cotton Casual Striped Shorts Pocket Pants Short Sleeve Button Down Shirts for Women,palazos completos de mujer casuales workout shorts womens boxing shorts womens hiking clothes womens trousers high waisted womens dress shorts straight leg shorts for women plus size plus size office wearworkout shorts for women women shorts ribbed shorts women gray shorts ladies high waisted swim shorts for women ladies wide leg shorts short pants for women black cheer shortsshorts for women with pockets workout shorts womens nylon shorts a new day shorts for women khaki shorts black straight leg shorts for women womens knee length shorts womens loose fitting shortswomen booty shorts shorts for women trendy ladies walking shorts shorts party outfits for women faux leather joggers women women shorts summer corduroy shorts for womenwomens long shorts shorts waist trainer shorts women's padded bike shorts color block shorts for women black pull on shorts women womens shorts dressy casual kaki short womanhigh wasted shorts plus size shorts ribbed bike shorts womens tailored shorts plus size pant sets womens drawstring cargo shorts volleyball shorts plus size gym shorts for womenwomen summer outfits shorts for women trendy short cargo shorts for women athletic flowy shorts womens plus size business attire pattern hour joggers for women black high waisted shorts plus size dressy shortsflowy shorts womens shorts under shorts for dresses tie dye workout set ribbed workout shorts black waitress shorts non chafing shorts women wrap around shortsshorts for women high waisted shorts cotton women shorts tophort yoga clothes wide leg khaki shorts for women womens shorts comfy low waist baggy cargo shorts,AMAZON FASHION,Women's Workout Shorts,0.0012706095175317956,0.27272727272727276,0.27272727272727276,0.6734782457351685,1
29,29,https://m.media-amazon.com/images/I/61DH768o+DL._AC_UL1500_.jpg,./images/0093214.jpg,Tommy Hilfiger Men's Obell Heeled Sandal,Give a little lift to your spring and summer looks with the Tommy Hilfiger Obell sandal featuring a back zip and signature hardware.,AMAZON FASHION,Tommy Hilfiger Obell Sandal,0.1225504602011117,0.7272727272727273,0.7272727272727273,0.8474588990211487,4
